frame,motions,detections,frame_motions,frame_detections
1929,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1930,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1931,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1932,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1933,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1934,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1935,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1936,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1937,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1938,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1939,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1940,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1941,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1942,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1943,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1944,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1945,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1946,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1947,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1948,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1949,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1950,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1951,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1952,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1953,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1954,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1955,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1956,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1957,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1958,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1959,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1960,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1961,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1962,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1963,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1964,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1965,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1966,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1967,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1968,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1969,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1970,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1971,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1972,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1973,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1974,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1975,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1976,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1977,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1978,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1979,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1980,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1981,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1982,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1983,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1984,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1985,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1986,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1987,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1988,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1989,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1990,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1991,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1992,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1993,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1994,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1995,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1996,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1997,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1998,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
1999,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2000,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2001,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2002,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2003,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2004,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2005,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2006,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2007,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2008,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2009,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2010,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2011,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2012,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2013,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2014,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2015,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2016,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2017,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2018,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2019,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2020,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2021,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2022,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2023,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2024,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2025,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2026,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2027,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2028,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2029,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2030,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2031,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2032,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2033,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2034,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2035,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2036,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2037,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2038,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2039,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2040,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2041,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2042,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2043,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2044,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2045,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2046,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2047,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2048,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2049,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2050,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2051,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2052,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2053,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2054,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2055,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2056,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2057,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2058,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2059,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2060,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2061,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2062,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2063,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2064,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2065,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2066,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2067,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2068,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2069,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2070,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2071,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2072,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2073,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2074,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2075,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2076,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2077,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2078,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2079,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2080,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2081,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2082,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2083,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2084,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2085,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2086,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2087,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2088,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2089,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2090,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2091,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2092,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2093,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2094,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2095,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2096,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2097,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2098,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2099,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2100,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2101,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2102,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2103,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2104,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2105,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2106,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2107,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2108,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2109,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2110,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2111,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2112,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2113,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2114,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2115,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2116,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2117,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2118,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2119,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2120,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2121,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2122,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2123,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2124,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2125,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2126,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2127,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2128,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2129,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2130,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2131,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2132,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2133,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2134,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2135,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2136,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2137,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2138,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2139,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2140,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2141,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2142,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2143,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2144,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2145,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2146,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2147,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2148,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2149,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2150,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2151,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2152,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2153,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2154,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2155,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2156,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2157,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2158,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2159,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2160,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2161,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2162,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2163,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2164,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2165,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2166,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2167,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2168,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2169,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2170,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2171,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2172,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2173,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2174,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2175,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2176,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2177,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2178,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2179,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2180,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2181,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2182,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2183,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2184,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2185,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2186,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2187,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2188,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2189,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2190,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2191,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2192,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2193,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2194,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2195,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2196,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2197,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2198,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2199,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2200,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2201,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2202,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2203,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2204,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2205,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2206,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2207,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2208,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2209,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2210,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2211,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2212,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2213,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2214,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2215,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2216,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2217,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2218,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2219,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2220,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2221,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2222,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2223,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2224,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2225,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2226,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2227,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2228,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2229,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2230,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2231,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2232,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2233,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2234,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2235,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2236,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2237,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2238,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2239,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2240,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2241,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2242,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2243,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2244,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2245,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2246,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2247,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2248,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2249,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2250,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2251,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2252,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2253,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2254,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2255,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2256,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2257,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2258,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2259,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2260,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2261,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2262,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2263,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2264,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2265,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2266,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2267,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2268,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2269,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2270,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2271,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2272,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2273,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2274,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2275,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2276,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2277,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2278,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2279,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2280,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2281,"(481.0, 197.0, 26.0, 30.0)","(0, 0, 0, 0)","[(481, 197, 26, 30)]",[]
2282,"(480.0, 197.0, 20.0, 31.0)","(0, 0, 0, 0)","[(480, 197, 20, 31)]",[]
2283,"(469.0, 203.0, 32.5, 22.0)","(0, 0, 0, 0)","[(465, 219, 23, 24), (473, 187, 42, 20)]",[]
2284,"(467.0, 204.5, 34.5, 22.0)","(0, 0, 0, 0)","[(462, 221, 26, 25), (472, 188, 43, 19)]",[]
2285,"(460.0, 221.0, 25.0, 30.0)","(0, 0, 0, 0)","[(460, 221, 25, 30)]",[]
2286,"(458.0, 224.0, 27.0, 30.0)","(0, 0, 0, 0)","[(458, 224, 27, 30)]",[]
2287,"(474.5, 208.5, 28.0, 26.5)","(0, 0, 0, 0)","[(458, 225, 30, 30), (491, 192, 26, 23)]",[]
2288,"(474.5, 210.5, 27.0, 29.0)","(0, 0, 0, 0)","[(461, 229, 27, 31), (488, 192, 27, 27)]",[]
2289,"(465.5, 212.0, 33.0, 29.0)","(0, 0, 0, 0)","[(458, 230, 29, 31), (473, 194, 37, 27)]",[]
2290,"(465.5, 215.5, 29.5, 27.5)","(0, 0, 0, 0)","[(458, 231, 25, 30), (473, 200, 34, 25)]",[]
2291,"(467.5, 217.5, 26.0, 25.5)","(0, 0, 0, 0)","[(459, 232, 21, 29), (476, 203, 31, 22)]",[]
2292,"(467.0, 217.0, 26.5, 24.0)","(0, 0, 0, 0)","[(456, 232, 21, 24), (478, 202, 32, 24)]",[]
2293,"(482.0, 201.0, 30.0, 24.0)","(0, 0, 0, 0)","[(482, 201, 30, 24)]",[]
2294,"(483.0, 199.0, 31.0, 24.0)","(0, 0, 0, 0)","[(483, 199, 31, 24)]",[]
2295,"(483.0, 200.0, 30.0, 22.0)","(0, 0, 0, 0)","[(483, 200, 30, 22)]",[]
2296,"(480.0, 200.0, 35.0, 21.0)","(0, 0, 0, 0)","[(480, 200, 35, 21)]",[]
2297,"(482.0, 200.0, 34.0, 20.0)","(0, 0, 0, 0)","[(482, 200, 34, 20)]",[]
2298,"(486.0, 199.0, 32.0, 21.0)","(0, 0, 0, 0)","[(486, 199, 32, 21)]",[]
2299,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2300,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2301,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2302,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2303,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
2304,"(452.0, 230.0, 30.0, 23.0)","(0, 0, 0, 0)","[(452, 230, 30, 23)]",[]
2305,"(451.0, 215.0, 45.0, 39.0)","(0, 0, 0, 0)","[(451, 215, 45, 39)]",[]
2306,"(451.0, 213.0, 44.0, 39.0)","(0, 0, 0, 0)","[(451, 213, 44, 39)]",[]
2307,"(451.0, 214.0, 44.0, 38.0)","(0, 0, 0, 0)","[(451, 214, 44, 38)]",[]
2308,"(452.0, 214.0, 46.0, 37.0)","(0, 0, 0, 0)","[(452, 214, 46, 37)]",[]
2309,"(468.5, 224.5, 33.0, 29.0)","(0, 0, 0, 0)","[(484, 232, 31, 21), (453, 217, 35, 37)]",[]
